method_id,display_name,based_on,description,backbone,caltech101,dtd,eurosat,fgvc,food101,oxford_flowers,oxford_pets,stanford_cars,sun397,ucf101,ImageNet,ImageNetV2,ImageNet-R,ImageNet-Sketch,ImageNet-A,avg_cd_7,avg_cd_10
PTA_paper,PTA (paper),,Original PTA method as reported in ICML 2026 paper,ViT-B/16,94.81,47.70,61.57,26.10,86.44,75.23,91.06,68.55,69.21,73.12,70.28,64.85,80.79,51.00,61.15,67.08,69.38
PTA_repro,PTA (reproduced),PTA_paper,Our reproduction of PTA — runner.py --method pta --config configs; jobs 6154-6167 (2026-06-10). food101/stanford_cars/sun397 skipped: missing image files. ImageNet-R/S skipped: exceed 3h wall-time limit.,ViT-B/16,94.85,47.87,61.77,25.68,,74.62,91.31,,,73.33,70.24,,,36.00,67.06,
MPTA_r8832,MPTA (r8832),PTA_repro,Multi-prototype TTA — patch-level prototypes per class with max_K guard on update; configs_multi_proto; jobs 6145-6151 (2026-06-10). SVN r8832 snapshot before B2+C1 change.,ViT-B/16,94.08,44.50,47.46,25.05,,70.08,89.02,,,66.77,,,,,,62.42,
MPTA_B2C1,MPTA (B2+C1),MPTA_r8832,Top-M mean aggregation (B2) replaces softmax top-M; raw proto scores without active-class mean centering (C1). configs_multi_proto; job 6248 (2026-06-10).,ViT-B/16,94.04,44.21,49.33,24.75,,71.25,88.91,,,66.61,,,,,,62.73,
JOB_6263,MPTA (r8832+C0+mod),MPTA_B2C1,"Same configs as B2C1 but with patch_norm_scale removed, score_noise removed, min_class_patches removed, topk_default_classes=50, maxK_relax added. Jobs 6263 (2026-06-11). ucf101 TIMEOUT.",ViT-B/16,93.55,40.84,42.72,20.01,,67.88,87.93,,,,,,,,,
